3576022	Saint John’s	Saint John's	Saint John,Saint John's,Saint John’s,Sent Dzonsas,Sent Džonsas,Sent Tzons,Sent-Dzhons,St John's,St Johns,St. John's,St.John.s,seinteujonseu,sentojonzu,sheng yue han,sheng yue han shi,snt g'wns,Σεντ Τζονς,Сент-Джонс,סנט ג'ונס,ሴንት ጆንስ፥ አንቲጋ እና ባርቡዳ,セントジョンズ,圣约翰,圣约翰市,세인트존스	17.12096	-61.84329	P	PPLC	AG		04				24226		12	America/Antigua	2017-09-28
3573374	The Valley	The Valley	De Balei,El Valle,La-Valo,The Valley,Vali,Valis,Valley,Valli,bare,d wly,deobaelli,dy wyly,hwwʼly,ti velli,vali,wa li,Δε Βάλεϊ,Вали,Валли,Валлі,Валі,הוואלי,د ولی,دی ویلی,தி வேல்லி,เดอะแวลลีย์,ვალი,バレー,瓦利,더밸리	18.21704	-63.05783	P	PPLC	AI		11205396				2035	7	19	America/Anguilla	2019-09-05
3427213	Zárate	Zarate	General J.F. Uriburu,General Jose F. Uriburu,General José F. Uriburu,General Uriburu,Sarate,Saratė,Zarate,Zárate,sa la te,srath,zaraty  bwyns ayrs,Зарате,زاراتي، بوينس آيرس,سراته,სარატე,萨拉特	-34.09814	-59.02858	P	PPLA2	AR		01	06882			88781		28	America/Argentina/Buenos_Aires	2015-04-22
3427327	Wanda	Wanda	Wanda	-25.96879	-54.56285	P	PPL	AR		14	54063			15529		206	America/Argentina/Cordoba	2018-07-24
3427387	Villa Ortúzar	Villa Ortuzar	Villa Ortuzar,Villa Ortúzar	-34.57973	-58.46829	P	PPLX	AR		07	02015			22500		26	America/Argentina/Buenos_Aires	2017-05-08
3427388	Villa Ocampo	Villa Ocampo	Ocampo,Villa Ocampo	-28.48752	-59.35515	P	PPL	AR		21	82049			19101		54	America/Argentina/Cordoba	2016-01-30
3427408	Villa Lugano	Villa Lugano	Vilja Luganas,Villa Lugano,ビジャ・ルガーノ	-34.67907	-58.47263	P	PPLX	AR		07	02008			114000		19	America/Argentina/Buenos_Aires	2017-05-08
3427428	Villaguay	Villaguay	Villaguay	-31.8653	-59.02689	P	PPLA2	AR		08	30113			32027		50	America/Argentina/Cordoba	2015-04-22
3427431	Villa Gesell	Villa Gesell	VLG,Vil'ja-Khesel',Вилья-Хесель	-37.26394	-56.97304	P	PPL	AR		01	06868			23257		9	America/Argentina/Buenos_Aires	2016-01-30
3427453	Villa de Mayo	Villa de Mayo	C. de Mayo,Villa de Mayo	-34.5108	-58.68059	P	PPL	AR		01	06515			43405		16	America/Argentina/Buenos_Aires	2019-08-07
3427687	Tortuguitas	Tortuguitas	Tortuguitas	-34.47513	-58.75367	P	PPL	AR		01	06515			41390		20	America/Argentina/Buenos_Aires	2019-08-07
3427761	Tigre	Tigre	Las Conchas,Tigre,Тигре	-34.42603	-58.57962	P	PPL	AR	AR	01	06805			31106	2	8	America/Argentina/Buenos_Aires	2015-04-22
3427833	Tandil	Tandil	TDL,Tandil,Tandil',Tandilis,tan di er,tandil,tandiru,tandyl,tndyl,Тандил,Тандиль,טנדיל,تانديل,تاندیل,ტანდილი,タンディル,坦迪爾,탄딜	-37.32167	-59.13316	P	PPLA2	AR		01	06791			104325		192	America/Argentina/Buenos_Aires	2015-04-22
3428068	San Vicente	San Vicente	San Vicente	-26.61667	-54.13333	P	PPL	AR		14	54112			38247		603	America/Argentina/Cordoba	2018-07-04
3428071	Santo Tomé	Santo Tome	Santo Tome,Santo Tomé	-28.54939	-56.04077	P	PPLA2	AR		06	18168			22634		81	America/Argentina/Cordoba	2016-01-30
3428359	Santa Elena	Santa Elena	Santa Elena	-30.94432	-59.78832	P	PPL	AR		08	30070			18410		74	America/Argentina/Cordoba	2018-11-30
3428576	San Pedro	San Pedro	San Pedro	-33.67918	-59.66633	P	PPLA2	AR		01	06770			47452		30	America/Argentina/Buenos_Aires	2017-12-06
3428577	San Pedro	San Pedro	San Pedro	-26.62207	-54.10842	P	PPLA2	AR		14	54112			23736		554	America/Argentina/Cordoba	2015-04-22
3428708	San Luis del Palmar	San Luis del Palmar	San Luis del Palmar	-27.5079	-58.55454	P	PPLA2	AR		06	18140			15347		62	America/Argentina/Cordoba	2016-01-30
3428759	San Lorenzo	San Lorenzo	San Lorenzo	-28.13306	-58.76733	P	PPL	AR		06	18126			47626		64	America/Argentina/Cordoba	2018-12-05
3428975	San Javier	San Javier	San Javier	-30.57781	-59.9317	P	PPLA2	AR		21	82098			15606		27	America/Argentina/Cordoba	2015-04-22
3428992	San Isidro	San Isidro	San Isidro,san aysydrw,sheng yi xi de luo,Сан Исидро,سان إيسيدرو,سان ایسیدرو,圣伊西德罗	-34.4721	-58.52708	P	PPLA2	AR		01	06756			45190		20	America/Argentina/Buenos_Aires	2016-05-07
3429403	Saladas	Saladas	Saladas	-28.25384	-58.62591	P	PPLA2	AR		06	18126			18349		75	America/Argentina/Cordoba	2016-03-10
3429576	Retiro	Retiro	Retiras,Retiro,lei di luo,retiro,Ретиро,Ретіро,レティーロ,雷蒂罗	-34.58333	-58.38333	P	PPLX	AR		07	02001			38635		7	America/Argentina/Buenos_Aires	2017-05-08
3429577	Resistencia	Resistencia	Ciudad de Resistencia,RES,Resistancia,Resistencia,Resistenseje,Resistensia,Resistensija,Resistensėjė,Resistentia,Resistência,lei xi si teng xi ya,lesiseutensia,re si s ten seiy,reshisutenshia,rsystnsyh,rysystyna,rysystynsya,rzystnsya,rzystnsya  chakw,Ресистенсия,Ресистенсија,Ресістенсія,Ռեսիստենսիա,רסיסטנסיה,رزیستنسیا,رزیستنسیا، چاکو,ريسيستينسيا,ریسیستینا,เรซิสเตนเซีย,რესისტენსია,レシステンシア,雷西斯滕西亚,레시스텐시아	-27.46056	-58.98389	P	PPLA	AR		03	22140			387158		56	America/Argentina/Cordoba	2016-01-30
3429594	Reconquista	Reconquista	RCQ,Reconquista,Rekonkista,Реконкиста	-29.15	-59.65	P	PPLA2	AR		21	82049			90184		50	America/Argentina/Cordoba	2018-03-27
3429652	Quilmes	Quilmes	Kil'mes,Kilmes,Kilmesas,Quilmes,ji er mei si,kilmeseu,kirumesu,kwylms,kylms,qylms,Килмес,Кильмес,Кільмес,Կիլմես,קילמס,كويلمس,کیلمس,კილმესი,キルメス,基尔梅斯,킬메스	-34.72904	-58.26374	P	PPLA2	AR		01	06658			230000		18	America/Argentina/Buenos_Aires	2019-03-23
